feedback_id,timestamp,username,review,sentiment,emotion,rating,course
1,1-28-2024 11:00,user_484,Promised GUI projects but only scratched the surface.,negative,disappointment,1,Introduction to Python
2,2-7-2024 16:00,user_332,Never thought I'd enjoy list comprehensions this much!,positive,excitement,5,Introduction to Python
3,10-1-2023 09:00,user_232,"The OOP part was okay, but could be better.",neutral,neutral,3,Introduction to Python
4,2-6-2024 09:00,user_441,Rage-quit the decorators assignment. Too vague!,negative,anger,2,Introduction to Python
5,11-10-2023 12:00,user_182,The OOP quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
6,10-13-2023 11:00,user_255,Why was list comprehensions explained so poorly? Totally caught me off guard.,positive,surprise,4,Introduction to Python
7,12-6-2023 17:00,user_116,Why is exception handling so confusing here?,negative,frustration,1,Introduction to Python
8,2-22-2024 15:00,user_365,GUI projects is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
9,3-12-2024 11:00,user_271,The NumPy project helped me land an internship!,positive,satisfaction,5,Introduction to Python
10,12-15-2023 15:00,user_134,Never thought I'd enjoy Pandas this much!,positive,excitement,5,Introduction to Python
11,12-19-2023 15:00,user_183,Frustrated with Pandas. Need better examples.,negative,frustration,1,Introduction to Python
12,2-15-2024 14:00,user_141,The list comprehensions section was a letdown.,negative,disappointment,2,Introduction to Python
13,10-29-2023 11:00,user_440,Mastered file handling thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
14,12-11-2023 09:00,user_153,Average course. The GUI projects section was fine.,neutral,neutral,3,Introduction to Python
15,2-4-2024 10:00,user_385,Promised lambda functions but only scratched the surface.,negative,disappointment,1,Introduction to Python
16,11-26-2023 13:00,user_379,Why is OOP so confusing here?,negative,frustration,1,Introduction to Python
17,1-2-2024 15:00,user_344,"Not bad, but OOP needs improvement.",neutral,neutral,3,Introduction to Python
18,3-26-2024 14:00,user_373,"Endless slides on exception handling, where's the coding?",negative,boredom,2,Introduction to Python
19,10-13-2023 10:00,user_424,Rage-quit the exception handling assignment. Too vague!,negative,anger,1,Introduction to Python
20,12-18-2023 14:00,user_339,Didn't expect exception handling to be this intuitive!,positive,surprise,4,Introduction to Python
21,12-20-2023 11:00,user_346,exception handling is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
22,2-9-2024 14:00,user_405,The GUI projects lectures put me to sleep.,negative,boredom,1,Introduction to Python
23,10-19-2023 14:00,user_161,The OOP lectures put me to sleep.,negative,boredom,1,Introduction to Python
24,2-23-2024 16:00,user_192,"Endless slides on exception handling, where's the coding?",negative,boredom,1,Introduction to Python
25,1-31-2024 10:00,user_407,The exception handling quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
26,2-7-2024 17:00,user_342,The instructor's NumPy examples were hilarious and easy to follow!,positive,happiness,4,Introduction to Python
27,2-17-2024 16:00,user_295,The NumPy project made me fall in love with Python!,positive,excitement,5,Introduction to Python
28,2-25-2024 16:00,user_171,The NumPy project helped me land an internship!,positive,satisfaction,4,Introduction to Python
29,3-12-2024 10:00,user_202,Never thought I'd enjoy list comprehensions this much!,positive,excitement,4,Introduction to Python
30,1-17-2024 12:00,user_375,Now I can build GUI projects apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
31,2-28-2024 12:00,user_287,"Not bad, but GUI projects needs improvement.",neutral,neutral,3,Introduction to Python
32,10-11-2023 12:00,user_193,NumPy is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
33,2-16-2024 11:00,user_388,OOP clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
34,1-19-2024 10:00,user_368,The instructor's OOP examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
35,12-18-2023 17:00,user_492,Didn't expect NumPy to be this intuitive!,negative,surprise,2,Introduction to Python
36,2-9-2024 09:00,user_480,Didn't expect async programming to be this intuitive!,positive,surprise,5,Introduction to Python
37,10-31-2023 13:00,user_124,Now I can build lambda functions apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
38,2-13-2024 09:00,user_218,"Endless slides on list comprehensions, where's the coding?",negative,boredom,1,Introduction to Python
39,11-30-2023 10:00,user_173,"The exception handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
40,10-29-2023 12:00,user_265,Expected more depth on OOP.,negative,disappointment,1,Introduction to Python
41,1-28-2024 11:00,user_242,Didn't expect NumPy to be this intuitive!,negative,surprise,1,Introduction to Python
42,12-5-2023 10:00,user_307,Rage-quit the exception handling assignment. Too vague!,negative,anger,1,Introduction to Python
43,3-31-2024 13:00,user_474,Still don't get async programming after 3 lectures.,negative,confusion,1,Introduction to Python
44,2-2-2024 12:00,user_337,"The GUI projects part was okay, but could be better.",neutral,neutral,3,Introduction to Python
45,11-11-2023 11:00,user_236,The OOP quiz was unfair and poorly designed.,negative,frustration,2,Introduction to Python
46,3-21-2024 15:00,user_390,The GUI projects video quality is terrible!,negative,anger,2,Introduction to Python
47,3-29-2024 11:00,user_214,Why is exception handling explained so poorly?,negative,confusion,2,Introduction to Python
48,11-6-2023 17:00,user_208,"Not bad, but lambda functions needs improvement.",neutral,neutral,3,Introduction to Python
49,10-17-2023 17:00,user_208,"Endless slides on exception handling, where's the coding?",negative,boredom,1,Introduction to Python
50,3-5-2024 10:00,user_321,The file handling quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
51,2-13-2024 15:00,user_179,The async programming project made me fall in love with Python!,positive,excitement,5,Introduction to Python
52,3-26-2024 10:00,user_437,Promised decorators but only scratched the surface.,negative,disappointment,1,Introduction to Python
53,12-15-2023 13:00,user_377,"I finally get GUI projects, this course is a lifesaver!",positive,happiness,5,Introduction to Python
54,1-13-2024 12:00,user_131,Why is NumPy explained so poorly?,negative,confusion,1,Introduction to Python
55,1-21-2024 09:00,user_273,This Pandas section is a waste of time.,negative,anger,1,Introduction to Python
56,12-30-2023 16:00,user_384,The lambda functions project made me fall in love with Python!,positive,excitement,5,Introduction to Python
57,11-5-2023 15:00,user_343,Promised exception handling but only scratched the surface.,negative,disappointment,2,Introduction to Python
58,1-9-2024 12:00,user_253,Why was decorators explained so poorly? Totally caught me off guard.,positive,surprise,5,Introduction to Python
59,2-19-2024 12:00,user_336,Lost at OOP. Need better examples!,negative,confusion,1,Introduction to Python
60,2-12-2024 15:00,user_333,"The OOP part was okay, but could be better.",neutral,neutral,3,Introduction to Python
61,1-17-2024 16:00,user_379,The decorators demo was unexpectedly brilliant!,negative,surprise,1,Introduction to Python
62,1-22-2024 12:00,user_310,"Not bad, but OOP needs improvement.",neutral,neutral,3,Introduction to Python
63,3-26-2024 10:00,user_408,The decorators quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
64,10-8-2023 12:00,user_168,Promised GUI projects but only scratched the surface.,negative,disappointment,1,Introduction to Python
65,2-20-2024 11:00,user_153,The instructor's exception handling examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
66,12-11-2023 10:00,user_374,Never thought I'd enjoy Pandas this much!,positive,excitement,5,Introduction to Python
67,3-2-2024 11:00,user_245,The lambda functions quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
68,2-16-2024 16:00,user_215,"The exception handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
69,10-11-2023 17:00,user_373,"The NumPy part was okay, but could be better.",neutral,neutral,3,Introduction to Python
70,12-16-2023 14:00,user_119,The list comprehensions lectures put me to sleep.,negative,boredom,1,Introduction to Python
71,10-9-2023 14:00,user_264,The instructor's NumPy examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
72,12-27-2023 09:00,user_403,The GUI projects project made me fall in love with Python!,positive,excitement,5,Introduction to Python
73,1-20-2024 15:00,user_428,Didn't expect NumPy to be this intuitive!,negative,surprise,2,Introduction to Python
74,1-31-2024 10:00,user_270,The exception handling section was a letdown.,negative,disappointment,2,Introduction to Python
75,3-24-2024 13:00,user_352,Rage-quit the async programming assignment. Too vague!,negative,anger,1,Introduction to Python
76,10-29-2023 09:00,user_363,The async programming quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
77,1-29-2024 16:00,user_426,The list comprehensions quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
78,12-25-2023 14:00,user_439,"The file handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
79,12-26-2023 10:00,user_101,"Endless slides on lambda functions, where's the coding?",negative,boredom,1,Introduction to Python
80,12-31-2023 10:00,user_258,This async programming section is a waste of time.,negative,anger,1,Introduction to Python
81,12-18-2023 10:00,user_151,The GUI projects section was a letdown.,negative,disappointment,1,Introduction to Python
82,12-8-2023 09:00,user_451,The instructor's Pandas examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
83,3-2-2024 16:00,user_252,Rage-quit the async programming assignment. Too vague!,negative,anger,1,Introduction to Python
84,1-19-2024 14:00,user_275,exception handling is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
85,10-18-2023 11:00,user_253,Rage-quit the GUI projects assignment. Too vague!,negative,anger,1,Introduction to Python
86,10-12-2023 15:00,user_372,list comprehensions clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
87,12-29-2023 14:00,user_339,The exception handling lectures put me to sleep.,negative,boredom,1,Introduction to Python
88,1-12-2024 17:00,user_425,The list comprehensions video quality is terrible!,negative,anger,1,Introduction to Python
89,10-7-2023 09:00,user_234,The file handling project helped me land an internship!,positive,satisfaction,5,Introduction to Python
90,12-31-2023 16:00,user_306,Rage-quit the OOP assignment. Too vague!,negative,anger,1,Introduction to Python
91,2-16-2024 10:00,user_175,Pandas is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
92,2-15-2024 10:00,user_415,"Endless slides on lambda functions, where's the coding?",negative,boredom,1,Introduction to Python
93,11-29-2023 14:00,user_469,The list comprehensions video quality is terrible!,negative,anger,1,Introduction to Python
94,10-20-2023 14:00,user_400,Mastered exception handling thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
95,1-19-2024 10:00,user_345,Promised list comprehensions but only scratched the surface.,negative,disappointment,2,Introduction to Python
96,1-19-2024 12:00,user_143,OOP clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
97,2-23-2024 10:00,user_333,Why is NumPy explained so poorly?,negative,confusion,1,Introduction to Python
98,12-28-2023 10:00,user_160,The instructor's GUI projects examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
99,1-29-2024 15:00,user_199,list comprehensions clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
100,10-31-2023 14:00,user_414,"Not bad, but lambda functions needs improvement.",neutral,neutral,3,Introduction to Python
101,3-25-2024 09:00,user_162,The list comprehensions demo was unexpectedly brilliant!,positive,surprise,4,Introduction to Python
102,12-18-2023 11:00,user_316,The NumPy demo was unexpectedly brilliant!,positive,surprise,5,Introduction to Python
103,2-14-2024 14:00,user_223,The instructor's list comprehensions examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
104,2-16-2024 11:00,user_289,Mastered async programming thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
105,11-5-2023 12:00,user_218,Pandas is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
106,3-15-2024 11:00,user_144,Now I can build decorators apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
107,1-21-2024 14:00,user_482,The instructor's GUI projects examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
108,1-30-2024 13:00,user_337,The exception handling section was a letdown.,negative,disappointment,1,Introduction to Python
109,12-2-2023 15:00,user_118,This exception handling section is a waste of time.,negative,anger,1,Introduction to Python
110,1-21-2024 16:00,user_461,Now I can build async programming apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
111,10-29-2023 13:00,user_349,The file handling project helped me land an internship!,positive,satisfaction,5,Introduction to Python
112,2-26-2024 12:00,user_278,Rage-quit the exception handling assignment. Too vague!,negative,anger,1,Introduction to Python
113,10-28-2023 12:00,user_453,Frustrated with file handling. Need better examples.,negative,frustration,1,Introduction to Python
114,10-29-2023 11:00,user_385,"The decorators part was okay, but could be better.",neutral,neutral,3,Introduction to Python
115,10-29-2023 15:00,user_111,Lost at exception handling. Need better examples!,negative,confusion,2,Introduction to Python
116,12-18-2023 12:00,user_130,The list comprehensions section was a letdown.,negative,disappointment,1,Introduction to Python
117,10-26-2023 16:00,user_222,The instructor's exception handling examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
118,3-15-2024 10:00,user_149,exception handling clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
119,12-23-2023 09:00,user_373,Now I can build list comprehensions apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
120,2-15-2024 14:00,user_463,Why is exception handling so confusing here?,negative,frustration,2,Introduction to Python
121,1-27-2024 17:00,user_192,"Endless slides on Pandas, where's the coding?",negative,boredom,1,Introduction to Python
122,11-16-2023 11:00,user_395,"Not bad, but decorators needs improvement.",neutral,neutral,3,Introduction to Python
123,2-12-2024 12:00,user_147,OOP is mind-blowing! I stayed up all night coding!,positive,excitement,4,Introduction to Python
